S3010-103-84
 1.0000000     0.0000000
 0.9967400     0.0002700
 0.9870600     0.0011800
 0.9712200     0.0029300
 0.9495900     0.0056400
 0.9226400     0.0093600
 0.8909000     0.0140500
 0.8549300     0.0196000
 0.8153100     0.0258500
 0.7726100     0.0325900
 0.7273900     0.0395800
 0.6802100     0.0465800
 0.6315800     0.0533700
 0.5820300     0.0597100
 0.5320400     0.0654100
 0.4821300     0.0702900
 0.4327500     0.0742200
 0.3843800     0.0770600
 0.3375000     0.0787000
 0.2925000     0.0790200
 0.2497000     0.0779600
 0.2094400     0.0755600
 0.1720600     0.0718400
 0.1378500     0.0668900
 0.1070600     0.0607600
 0.0799000     0.0536000
 0.0565500     0.0455600
 0.0371300     0.0368300
 0.0217300     0.0276600
 0.0104200     0.0183500
 0.0031900     0.0092700
 0.0000500     0.0010000
 0.0018100    -0.0054300
 0.0093200    -0.0104800
 0.0223900    -0.0150600
 0.0406100    -0.0189400
 0.0638100    -0.0220300
 0.0918000    -0.0242700
 0.1243500    -0.0256700
 0.1611900    -0.0262500
 0.2020000    -0.0261000
 0.2463500    -0.0253100
 0.2937600    -0.0239900
 0.3437100    -0.0222100
 0.3956500    -0.0200900
 0.4489900    -0.0176900
 0.5031200    -0.0151400
 0.5574300    -0.0125200
 0.6112700    -0.0099400
 0.6639900    -0.0074900
 0.7149500    -0.0052600
 0.7635000    -0.0033200
 0.8090100    -0.0017200
 0.8508700    -0.0005100
 0.8885100     0.0003100
 0.9214000     0.0007500
 0.9490500     0.0008600
 0.9710400     0.0007200
 0.9870300     0.0004200
 0.9967400     0.0001300
 1.0000000     0.0000000
