SD7037-S3010 Blend 50/50
 1.0000000     0.0000000
 0.9967072     0.0003470
 0.9870146     0.0014951
 0.9713239     0.0036469
 0.9501583     0.0068541
 0.9241072     0.0110781
 0.8937085     0.0161785
 0.8594732     0.0219477
 0.8218270     0.0281760
 0.7811604     0.0346303
 0.7377695     0.0411304
 0.6920492     0.0475488
 0.6444988     0.0537291
 0.5956578     0.0594960
 0.5460295     0.0646858
 0.4961405     0.0691318
 0.4464990     0.0727025
 0.3976240     0.0752718
 0.3499562     0.0767269
 0.3039575     0.0769743
 0.2600537     0.0759438
 0.2186214     0.0736416
 0.1800390     0.0700795
 0.1446335     0.0653246
 0.1127062     0.0594342
 0.0844822     0.0525204
 0.0601406     0.0447206
 0.0398133     0.0362220
 0.0236024     0.0272834
 0.0115871     0.0182426
 0.0038304     0.0095442
 0.0001682     0.0018557
 0.0011350    -0.0039693
 0.0074855    -0.0088908
 0.0197480    -0.0131797
 0.0372503    -0.0168186
 0.0599657    -0.0196468
 0.0876568    -0.0216506
 0.1200754    -0.0228436
 0.1569168    -0.0232692
 0.1978069    -0.0230109
 0.2423112    -0.0221634
 0.2899476    -0.0208351
 0.3401538    -0.0191138
 0.3923692    -0.0171065
 0.4459630    -0.0148758
 0.5003156    -0.0125272
 0.5548070    -0.0101326
 0.6087978    -0.0077817
 0.6616682    -0.0055495
 0.7127881    -0.0035210
 0.7615568    -0.0017710
 0.8073335    -0.0003701
 0.8494881     0.0006354
 0.8874404     0.0012444
 0.9206203     0.0014612
 0.9485276     0.0013552
 0.9707316     0.0010222
 0.9868813     0.0005671
 0.9967048     0.0001707
 1.0000000     0.0000000
